galaxy,n_pts,rmax,N_capped,chi2red_capped,tier_a
UGC02259,8,8.14,2,0.576,1.02;7.78
NGC4217,11,16.72,1,0.608,15.40
UGC02487,17,80.38,1,5.126,9.93
UGC04325,8,5.59,1,0.412,1.36
NGC7814,16,19.53,1,0.709,6.08
NGC6674,15,72.41,2,2.835,2.50;68.91
UGC02916,32,38.0,1,3.008,9.85
UGC00731,12,10.91,2,0.083,1.07;4.08
NGC6946,55,20.4,1,1.193,6.35
UGC04278,25,6.69,1,0.648,6.38
UGC03580,25,27.06,1,2.831,10.19
UGC03546,15,29.23,1,1.203,7.85
UGC00128,22,53.75,2,2.585,3.98;21.08
UGC05253,73,53.29,2,1.175,0.13;9.49
UGC02885,19,74.07,2,1.849,1.70;33.59
UGC05721,23,6.74,1,0.393,1.02
NGC6503,31,23.5,2,1.48,3.32;22.49
UGC06818,8,6.98,1,1.712,6.98
UGC05986,15,9.41,1,0.871,3.30
UGC05716,12,12.37,2,1.221,1.03;4.83
NGC7331,28,36.31,1,0.47,23.26
UGC06923,6,5.16,1,0.482,3.35
UGC04499,9,8.18,1,0.243,3.02
UGC06787,55,37.19,2,23.855,4.22;35.54
UGC07261,7,6.67,1,0.372,1.49
UGC06446,17,10.22,1,0.45,1.96
UGC05005,11,28.61,1,0.013,10.64
UGC07151,11,5.5,1,0.906,1.57
UGC07690,7,4.13,1,0.111,0.70
UGC06930,10,16.61,1,0.176,3.69
UGC06399,9,7.85,1,0.047,3.48
UGC06917,11,10.47,1,0.196,3.65
UGC02953,106,62.39,2,4.012,4.99;59.52
UGC07125,13,18.68,1,0.247,4.76
UGC06786,45,34.05,2,0.772,2.10;11.26
UGC06614,12,64.59,1,0.124,27.67
UGC10310,7,7.74,1,0.094,2.14
UGC07603,12,4.11,1,0.203,1.53
UGC07399,10,6.13,2,0.243,1.10;5.88
UGC06667,9,7.85,1,0.094,3.10
UGC06983,17,15.68,1,0.423,3.19
UGC09133,64,108.31,2,6.099,8.53;64.21
UGC08286,17,8.04,2,0.737,1.34;7.71
UGC08699,37,25.7,2,0.538,1.88;15.13
UGC08550,11,5.36,2,0.436,0.87;5.02
UGC12506,31,49.99,2,0.106,1.03;9.97
UGC11914,63,9.83,2,1.421,0.47;9.36
UGC08490,30,10.15,2,0.143,0.62;2.93
UGC11455,33,41.93,2,1.687,8.04;40.24
UGC07524,31,10.69,1,0.233,3.60
UGCA442,8,6.33,1,0.613,2.84
UGCA444,36,2.62,1,0.218,1.25
UGC12632,15,10.66,1,0.066,2.85
UGC01281,25,4.99,4,0.275,0.08;3.50;3.73;4.36
UGC03205,46,40.04,2,1.543,1.71;26.16
UGC09037,19,27.96,1,0.501,20.97
