galaxy,rmin,rmax,n,p0_in,a_in,p0_out,a_out,ratio_a,drop_logrho,sd_in,sd_out,in_unconstrained,out_unconstrained,in_railed
NGC3726,3.5,32.52,12,7.242402584085307,6.1138128834020575,5.945421878328114,193.33573899628598,31.62277660167831,1.2969807057571927,8.028714726857858,8.231734021100591,False,True,False
NGC3741,0.23,7.0,21,8.180246417094429,0.4181910765514713,7.113388662992055,4.244815766149795,10.150421671246109,1.066857754102374,7.801621178608596,7.741247508695504,False,False,False
NGC4013,5.49,31.01,36,8.348017239334279,1.8164471950431633,6.469715609874077,32.69957394642316,18.001940290725674,1.8783016294602017,8.60724001657584,7.984257704004613,True,True,False
NGC5585,0.09,10.96,24,8.87872198161692,0.15366119935163908,7.4149884709970255,4.859193779443679,31.62277660168378,1.4637335106198943,8.065286200224076,8.101552689604182,False,False,False
NGC5985,3.54,34.72,33,8.664261992914513,3.2865459238852264,6.1092181459765085,103.92970748825556,31.622776585270994,2.5550438469380046,9.181001698099466,8.125957850936055,True,True,False
NGC6015,0.34,29.23,44,8.654714184690171,1.46289591019769,6.630122906734566,18.624376976269538,12.731170308455312,2.0245912779556052,8.8199276104498,7.900204660353884,False,False,False
NGC6195,2.34,36.43,20,8.463179473645269,1.1603365934247833,6.490625713930596,36.6930648766307,31.622776601683775,1.972553759714673,8.527763462409037,8.055209702694365,True,True,False
NGC6503,0.76,23.5,31,7.831883279663163,3.3565156988280638,5.955458459111503,24.799750212056363,7.388539913790739,1.8764248205516605,8.357771962436436,7.349905765660626,False,True,False
UGC00128,1.25,53.75,22,7.678435556242276,3.9600615105250987,6.230467397857975,20.93650292462863,5.286913566615908,1.4479681583843007,8.276137487994596,7.551371539987299,False,False,False
UGC00731,0.91,10.91,12,7.990962843228868,1.0574386830239246,7.246752424267193,3.9847696471355865,3.7683221836943437,0.744210418961675,8.015218036867987,7.847155644887793,False,False,False
UGC02259,1.02,8.14,8,8.56195169885984,1.0768134891927168,6.430943073315767,34.051832410420914,31.62277660168378,2.131008625544073,8.594092186160681,7.963083560616608,False,True,False
UGC02953,0.09,62.39,106,8.193523591357073,5.050069805707441,5.959129283822151,70.18139677406968,13.897114193303373,2.234394307534922,8.896820972648808,7.805351291264296,False,True,False
UGC03205,0.28,40.04,46,8.817661434643904,1.7784875503168285,6.503555860884646,29.003125860123774,16.30774747619516,2.3141055737592584,9.06771226404896,7.966000668116173,False,False,False
UGC04278,0.14,6.69,25,8.135743837666661,0.48388122070708256,7.194948542779763,10.30818192715489,21.303124581052806,0.9407952948868985,7.820482605256692,8.20813061750751,False,True,False
UGC05253,0.13,53.29,73,9.151078981854342,0.3021877382790294,7.550897537502758,9.556015339365832,31.62277660168378,1.600181444351584,8.631355820064517,8.531174375712933,False,False,False
UGC05716,1.03,12.37,12,8.989914035274,0.3011565666311545,7.30931619271192,4.191857311536291,13.919196112599876,1.6805978425620793,8.468706372548432,7.931722683799446,True,False,False
UGC06786,0.16,34.05,45,8.487596339022112,2.0716658181777357,7.360555388158952,11.056866650838277,5.337186409999293,1.1270409508631598,8.803916039406838,8.404187460060076,False,False,False
UGC06787,0.47,37.19,55,8.110043804284425,4.585999208771368,6.2188734938789345,145.0220284744556,31.622776601679426,1.8911703104054904,8.771477779748938,8.380307469343387,False,True,False
UGC07399,0.61,6.13,10,8.616006049190055,1.1751631857876252,6.794940880469566,37.161922894685084,31.62277660168378,1.821065168720489,8.68610422708822,8.365039058367731,False,True,False
UGC08286,0.47,8.04,17,8.31029174901584,1.4239198440126177,6.2067662046823315,45.02829908178324,31.62277657069033,2.1035255443335092,8.463777291488869,7.860251746729708,False,True,False
UGC08490,0.34,10.15,30,8.782677024864723,0.631571148269885,7.52319584591118,3.0241004461815035,4.788218167447439,1.2594811789535436,8.583099307009432,8.003792058169537,False,False,False
UGC08550,0.49,5.36,11,8.289114239975623,0.8633074670742185,6.876818474541583,4.562717837294119,5.2851597041750855,1.41229576543404,8.225279737280971,7.5360420869708005,False,False,False
UGC08699,0.22,25.7,37,8.474602628909887,1.9511998593217479,6.810299016080112,17.004383171392146,8.714834151998659,1.6643036128297748,8.764904384903655,8.040859898739953,False,False,False
UGC09133,0.32,108.31,64,7.618737068630987,8.54898446011213,5.565294104686885,66.21667456784793,7.745560291611457,2.0534429639441028,8.55065159627561,7.386261471179987,False,False,False
UGC11455,2.47,41.93,33,7.439042976706335,9.413641711351362,5.867599442910632,297.68548883969055,31.622776600975683,1.5714435337957031,8.41280064149228,8.341357107686852,False,True,False
