galaxy,model,N_best,chi2red
NGC3741,einasto,2,0.389
NGC5005,einasto,1,0.569
NGC2403,einasto,1,5.323
NGC5371,einasto,4,1.951
NGC0289,einasto,1,1.871
NGC3992,einasto,1,0.4
NGC4013,einasto,2,0.896
NGC4100,einasto,1,1.062
NGC3917,einasto,2,2.56
NGC3198,einasto,1,2.266
NGC5585,einasto,2,7.161
NGC4217,einasto,2,0.938
NGC5033,einasto,1,5.715
NGC5985,einasto,1,2.487
NGC6674,einasto,4,3.034
NGC6195,einasto,2,1.197
NGC4157,einasto,2,0.141
NGC5055,einasto,2,34.065
NGC5907,einasto,3,3.25
NGC4559,einasto,1,0.601
NGC6015,einasto,1,7.538
UGC02259,einasto,1,0.682
UGC02487,einasto,1,4.939
UGC03205,einasto,3,1.923
UGC04278,einasto,3,0.529
NGC4183,einasto,1,0.22
UGC04325,einasto,1,3.603
UGC02916,einasto,1,5.637
NGC6503,einasto,1,2.479
UGC00731,einasto,1,0.564
NGC7331,einasto,2,0.521
UGC05005,einasto,2,0.223
UGC05721,einasto,1,1.319
NGC6946,einasto,2,1.974
UGC00128,einasto,1,2.444
UGC06818,einasto,3,5.425
UGC02953,einasto,1,5.887
UGC06923,einasto,2,1.737
UGC03580,einasto,2,6.284
UGC05253,einasto,1,8.149
NGC7814,einasto,1,1.106
UGC05986,einasto,2,6.355
UGC02885,einasto,3,0.924
UGC06614,einasto,2,0.913
UGC04499,einasto,2,1.524
UGC06787,einasto,4,29.833
UGC06399,einasto,2,0.833
UGC06667,einasto,2,1.793
UGC07690,einasto,1,0.447
UGC07151,einasto,2,3.881
UGC07261,einasto,1,0.025
UGC06446,einasto,1,0.271
UGC03546,einasto,1,2.145
UGC07125,einasto,1,1.034
UGC05716,einasto,1,1.737
UGC06917,einasto,2,1.088
UGC07524,einasto,2,0.859
UGC10310,einasto,1,0.719
UGC06983,einasto,1,0.712
UGC08490,einasto,1,0.257
UGC11914,einasto,4,1.238
UGC09037,einasto,2,1.043
UGCA442,einasto,2,2.449
UGC08286,einasto,1,3.025
UGC08699,einasto,1,0.506
UGC07603,einasto,2,1.795
UGCA444,einasto,2,0.058
UGC06930,einasto,1,0.352
UGC08550,einasto,1,0.937
UGC12506,einasto,1,0.152
UGC09133,einasto,1,10.315
UGC07399,einasto,1,1.499
UGC11455,einasto,2,1.787
UGC06786,einasto,1,1.232
UGC12632,einasto,1,0.47
UGC01281,einasto,3,0.718
