galaxy,N,logp0,a,loga,rmax,T,L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,Q,M_star,M_halo,logM_star,logM_halo,logM_halo_per_star,D,Inc,n,logMHI,gasfrac,MHI_Mstar,rmax_over_a,SB_central,res_a
NGC3917,1,7.723396381849182,4.610238571469615,0.6637233999215191,14.86,6,21.966,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,1,10983000000.0,665277547788.7239,10.040720983601194,11.823002866846018,1.7822818832448242,18.0,79.0,,0.27600198996205016,1.719020303810843e-10,1.719020304106346e-10,3.2232605253795037,1226.96,-0.08298158798482724
NGC3972,1,7.838346487029811,3.895626607299295,0.5905773234219736,8.72,4,14.353,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,1,7176500000.0,619380124815.4458,9.855912689188244,11.79195726524184,1.9360445760535967,18.0,77.0,,0.08421868673923877,1.6916324110564145e-10,1.6916324113425763e-10,2.2384075474947225,1587.93,-0.14730233833297102
NGC4100,1,8.110634525313097,3.737084929476432,0.5725329677944709,22.76,4,59.394,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,1,29697000000.0,1049455273307.2766,10.472712578972017,12.020963934133508,1.5482513551614918,18.0,73.0,,0.49164179347758613,1.0445499544317542e-10,1.0445499545408627e-10,6.0903084702409185,8970.78,-0.23044636796850038
NGC5005,1,7.502094919321598,11.47,1.0595634179012676,11.47,4,178.72,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,1,89360000000.0,4777960540146.155,10.951143160107552,12.679242558710731,1.7280993986031792,16.9,68.0,,0.10720996964786837,1.4324082363268411e-11,1.4324082363473591e-11,1.0000000000000002,96.57,0.0694553663073112
NGC5033,1,7.7055025503226915,7.330155242852507,0.8651131725129219,44.59,5,110.509,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,1,55254500000.0,1941297849134.2524,10.742367653317965,12.288092173364491,1.5457245200465302,15.7,66.0,,1.0536161744043904,2.0476160308541976e-10,2.047616031273471e-10,6.083090810863638,614.94,-0.013802647442575533
NGC5055,1,6.913056923926232,15.641145155478169,1.194268546453921,54.59,4,152.922,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,1,76461000000.0,1520210016019.8655,10.883439973667864,12.181903589588211,1.298463615920349,9.9,55.0,,1.0690017170456,1.5330691461271675e-10,1.5330691463621976e-10,3.4901536592977895,3348.34,0.3455389312088204
NGC4157,1,6.948755540802228,15.855289036789967,1.2001741634831822,29.61,3,105.62,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,1,52810000000.0,1670110409708.6428,10.722716167488494,12.22274518296926,1.5000290154807647,18.0,82.0,,0.9151887051731563,1.5576595339365027e-10,1.5576595341791329e-10,1.8675156240478594,23813.87,0.3398345177182609
DDO161,1,6.802616281934342,7.394408316427923,0.8689034284761185,13.37,10,0.548,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1,274000000.0,77247615406.97202,8.437750562820389,10.887885081862851,2.4501345190424644,7.5,70.0,,0.13924921757160696,5.029197054999147e-09,5.02919708029197e-09,1.8081230340359071,169.37,0.38802416196092293
NGC4183,1,7.812216003449592,3.436069399638282,0.5360619268633887,21.02,6,10.838,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,1,5419000000.0,358599663382.8655,9.73391915101239,11.554609877554572,1.820690726542182,18.0,82.0,,0.5448119117577761,6.469828377434357e-10,6.469828381620225e-10,6.117455020615356,1098.58,-0.13434704663659025
NGC4559,1,7.256623409095748,7.0082258431597015,0.8456080887161948,20.97,6,19.377,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,1,9688500000.0,471902584783.2203,9.98625654359883,11.673852356139337,1.687595812540506,9.0,67.0,,0.7642508754387732,5.997832478210929e-10,5.997832481808329e-10,2.992198092541142,1602.62,0.14130208277892287
NGC3109,1,7.3254998223915795,4.681946135735931,0.6704264129729036,6.45,9,0.194,1.64,11.4,1.56,140.87,0.477,6.0,66.2,1,97000000.0,76898605625.32117,7.986771734266245,10.885918464967634,2.899146730701389,1.33,70.0,,0.0,4.917525749013816e-09,4.9175257731958765e-09,1.3776322522741191,140.87,0.19010619619803637
NGC4010,1,7.384883398694504,6.878631106417352,0.8375020193284819,10.47,7,17.193,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,2,8596500000.0,527699180796.62213,9.93432166751343,11.722386419976283,1.788064752462855,18.0,89.0,,0.4520932490177314,3.294363984257588e-10,3.294363985342872e-10,1.5221051744193865,2611.14,0.11939924603346719
NGC4217,1,6.97123225863079,15.395842147266194,1.187403449647632,16.72,3,85.299,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,1,42649500000.0,1579566479786.836,10.62991394409642,12.19853790893506,1.5686239648386415,18.0,86.0,,0.4085791254086675,6.007104420558501e-11,6.007104420919354e-11,1.0860074973533642,4373.51,0.33394520020132545
UGC02487,1,8.059970874443545,8.683365104635083,0.9386880619457224,80.38,0,489.955,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,1,244977500000.0,9699709949754.818,11.38912619834589,12.986758747760645,1.5976325494147527,69.1,36.0,,1.2543788698948932,7.33251012794353e-11,7.332510128481187e-11,9.256779950101837,1150.35,-0.13883754720770447
UGC04325,1,8.491076465838887,1.35989120704559,0.1335041656719264,5.59,9,2.026,2.79,41.0,1.86,213.22,0.678,6.61,90.9,1,1013000000.0,199083902955.42108,9.00560944536028,11.299036146314435,2.293426700954157,9.6,41.0,,0.0,6.692991111018907e-10,6.692991115498519e-10,4.11062294618734,213.22,-0.4642529210106499
NGC7814,1,7.873047039154868,6.083731838867454,0.7841700627993052,19.53,2,74.529,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,1,37264500000.0,2780236760745.982,10.571295298417532,12.44408178135233,1.8727864829347975,14.4,90.0,,0.029383777685209667,2.871365508645699e-11,2.8713655087281462e-11,3.2102006658524416,2635.3,-0.13908888776367612
UGC02916,1,7.360300241337353,9.84773231320198,0.9933362348380348,38.0,2,124.153,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,2,62076500000.0,1616442046594.79,10.792927222529496,12.208560138706147,1.4156329161766514,65.4,50.0,,1.3668523695122639,3.7490837903674913e-10,3.749083791773054e-10,3.8587563909568052,520.99,0.13702896839982626
NGC6946,1,7.514442042190952,6.34514509243964,0.802441557419762,20.4,6,66.173,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,1,33086500000.0,1063447827241.2118,10.519650828475031,12.026716188270672,1.5070653597956412,5.52,38.0,,0.7535830588929066,1.7136898732196931e-10,1.7136898735133666e-10,3.2150565042723738,2232.7,-0.002172970326713819
UGC04278,1,7.362249543888715,6.380818503961056,0.8048763917232835,6.69,7,1.307,2.46,34.11,2.21,377.42,1.116,8.9,91.4,1,653500000.0,202387219486.1088,8.815245591916563,11.306183083850028,2.4909374919334653,9.51,90.0,,0.04766419460155998,1.7077276175886397e-09,1.7077276205049733e-09,1.048454833160826,377.42,0.20508764672274427
UGC03580,1,7.048058877114695,10.191725007174908,1.008247697028394,27.06,1,13.266,1.84,614.94,2.43,302.57,4.37,19.97,126.2,2,6633000000.0,532748899632.86847,9.821709997298376,11.726522561372882,1.904812564074506,20.7,63.0,,0.6404814369704218,6.588270763034714e-10,6.588270767375245e-10,2.655095185648154,302.57,0.2889691437533779
UGC03546,1,7.517616063763745,7.846937673475288,0.8947002031160152,29.23,1,101.336,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,1,50668000000.0,2023399531322.4412,10.70473376187689,12.30608164506289,1.6013478831859995,28.7,55.0,,0.4273237863572472,5.279466329554697e-11,5.279466329833425e-11,3.725020028998712,922.21,0.010670520106615955
UGC05721,1,8.68167149477469,1.0180381692918468,0.0077640613033608,6.74,7,0.531,0.6,233.79,0.38,913.76,0.562,6.74,79.7,1,265500000.0,134189786166.18344,8.424064525417489,11.127719460836872,2.703654935419383,6.18,61.0,,0.0,2.116760824144559e-09,2.1167608286252356e-09,6.620576912836562,913.76,-0.5412928699178005
