galaxy,N,logp0,a,loga,rmax
UGC02916,1,7.360300241337353,9.84773231320198,0.9933362348380347,38.0
UGC00731,2,7.79261126756853,2.3568267577076334,0.3723276601922109,10.91
NGC6946,1,7.514442042190952,6.34514509243964,0.802441557419762,20.4
UGC04278,1,7.362249543888715,6.380818503961056,0.8048763917232835,6.69
UGC03580,1,7.048058877114695,10.191725007174908,1.008247697028394,27.06
UGC03546,1,7.517616063763745,7.846937673475288,0.8947002031160152,29.23
UGC00128,2,7.25392946231682,8.257132262535643,0.916829241169649,53.75
UGC05253,2,7.591316775313182,9.095506774387061,0.9588269016610085,53.29
UGC02885,2,7.210029166968262,18.07983878138551,1.257194553536091,74.07
UGC05721,1,8.68167149477469,1.0180381692918468,0.007764061303360846,6.74
NGC6503,2,7.659741106157734,4.502265737001294,0.6534311247620953,23.5
UGC06818,1,7.095067760161421,6.9799999999999995,0.843855422623161,6.98
UGC05986,1,7.960571180810591,3.3007450067510975,0.5186119749699946,9.41
UGC05716,2,7.569186247983947,3.1767568117849594,0.5019839698342916,12.37
NGC7331,1,6.8618270615224795,23.255106648838844,1.3665183355437729,36.31
UGC06923,1,7.634510897392367,3.3496792265787274,0.5250032199332855,5.16
UGC04499,1,7.576482801829736,3.0157201867410395,0.4793910431023027,8.18
UGC06787,2,7.879614506791686,7.041688428731902,0.8476768050744097,37.19
UGC07261,1,8.18741210847976,1.4913862889943645,0.1735901461024533,6.67
UGC06446,1,8.081212354087949,1.955944680194208,0.2913565675138823,10.22
UGC05005,1,6.8103235600019865,10.641260153829782,1.0269930608019444,28.61
UGC07151,1,8.092046732181462,1.573454181775878,0.19685410098827769,5.5
UGC07690,1,8.61103601502444,0.6988474340695277,-0.15561762507503588,4.13
UGC06930,1,7.713820214176035,3.6892894492014103,0.5669427298431203,16.61
UGC06399,1,7.66101606499082,3.4842535859743746,0.5421097556873946,7.85
UGC06917,1,7.750070175421745,3.652262634922239,0.5625620001865533,10.47
UGC02953,2,8.034756776962293,6.560201500963614,0.816917179225143,62.39
UGC07125,1,6.982296969372208,4.75932097713657,0.6775449953846953,18.68
UGC06786,2,8.01547689543037,5.79412710438178,0.7629880179865152,34.05
UGC06614,1,6.633149694986806,27.668505780395744,1.4419857059840628,64.59
UGC10310,1,7.851703076005121,2.1360045635053346,0.3296021762137603,7.74
UGC07603,1,8.113110243397783,1.5347721742076819,0.18604391673320736,4.11
UGC07399,2,8.498521158129417,1.5284799827841247,0.18425975551004856,6.13
UGC06667,1,7.778662946179088,3.095180469628939,0.4906859763541999,7.85
UGC06983,1,7.896353928927501,3.1921396018676362,0.5040818760981871,15.68
UGC09133,2,7.332292474835244,13.14132480675613,1.1186391496424313,108.31
UGC08286,2,8.18967447850891,1.7864699853626704,0.2519957239804567,8.04
UGC08699,2,8.095630535330548,3.818615320830462,0.5819059106762273,25.7
UGC08550,2,8.115996589173713,1.3060827182518686,0.11597068302077314,5.36
UGC12506,2,8.130928193172775,5.468178728131368,0.737842701099274,49.99
UGC11914,2,9.187976513333723,1.3891581195274931,0.14275168168430477,9.83
UGC08490,2,8.389688979681335,1.4014736767631406,0.1465849450189774,10.15
UGC11455,2,7.318029796821891,13.367139700758026,1.1260384869125362,41.93
UGC07524,1,7.499161154922204,3.6000872067499,0.5563130210316065,10.69
UGCA442,1,7.5069742576442975,2.842307711957896,0.45367109342648887,6.33
UGCA444,1,7.733108655636369,1.252988484773731,0.09794707975535785,2.62
UGC12632,1,7.623608328835334,2.8508320862061294,0.45497163815068015,10.66
UGC01281,4,8.480140506323808,1.205200112836793,0.08105916366211798,4.99
UGC03205,2,8.120583500705743,4.583012000485548,0.6611509944339269,40.04
UGC09037,1,6.650847806158994,20.967110644664125,1.3215385869968108,27.96
