galaxy,n,N_best,chi2_1,bic_1,chi2_2,bic_2,bic_margin,chi2_gain,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
NGC2903,29,1,52.293233464573596,59.027825124546546,52.293252695447975,65.76243601539387,6.734610890847328,-1.9230874379161378e-05,NGC2903,4,6.6,1.98,1,66.0,3.0,81.863,0.151,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,"Be91,Be87",40931500000.0,210.444,1667399192040.754,10.612057660349793,12.222039586718214,1.6099819263684214
DDO161,31,1,7.5481222395641385,14.416096648534431,6.207839158604772,19.94378797654536,5.527691328010928,1.3402830809593667,DDO161,10,7.5,2.25,1,70.0,10.0,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,Co00,274000000.0,75.582,77247615406.97202,8.437750562820389,10.887885081862851,2.4501345190424644
NGC3877,11,1,7.127239088630557,11.923029634227298,7.127243295996407,16.71882438718989,4.795794752962593,-4.207365849495659e-06,NGC3877,5,18.0,2.5,4,76.0,1.0,72.535,0.401,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,5.1,2,"VS01,SV98",36267500000.0,191.976,1265816516634.8518,10.559517619720909,12.102370758139427,1.5428531384185185
NGC3769,11,1,5.6431397408868245,10.438930286483565,5.050999003687749,14.642580094881232,4.203649808397667,0.5921407371990757,NGC3769,3,18.0,2.5,4,70.0,2.0,18.679,0.189,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,"VS01,SV98",9339500000.0,135.20399999999998,442179458728.5016,9.970323626438503,11.645598563733266,1.6752749372947626
NGC3726,12,2,24.31606847320209,29.28588177277809,16.746651832407398,26.6862784315594,-2.599603341218689,7.569416640794692,NGC3726,5,18.0,2.5,4,53.0,2.0,70.234,0.388,7.52,198.08,3.4,1789.91,6.473,22.2,168.0,6.2,2,"VS01,SV98",35117000000.0,191.52,1256817854826.0718,10.545517407601492,12.099272341826122,1.5537549342246295
NGC0891,14,1,33.127914684464535,38.40602934369505,33.12800733087836,43.6842366493394,5.278207305644344,-9.264641382600303e-05,NGC0891,3,9.91,0.5,2,90.0,1.0,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,Fr11,69170000000.0,246.354,2674907677756.568,10.83991777567868,12.427308797298258,1.5873910216195777
NGC2976,24,1,5.750572649599331,12.106680310295221,5.750564378468681,18.462779699860462,6.356099389565241,8.271130649717406e-06,NGC2976,5,3.58,0.18,2,61.0,10.0,3.371,0.019,1.31,308.2,1.01,1502.55,0.172,3.04,85.4,3.3,2,Si03,1685500000.0,97.356,165088989297.6138,9.226728756856993,11.21771810871555,1.990989351858559
NGC3741,21,2,23.111840939798967,29.20088581524581,4.611659307318631,16.789749058212323,-12.41113675703349,18.500181632480334,NGC3741,10,3.21,0.17,2,70.0,4.0,0.028,0.001,0.32,42.94,0.2,143.49,0.182,4.2,50.1,2.1,1,"Ge07,Bm05",14000000.0,57.114,33331716111.241577,7.146128035678238,10.522857674250272,3.3767296385720336
NGC3949,7,1,2.095170834074403,5.986991132185029,1.39170783938898,9.175348435610232,3.188357303425203,0.703462994685423,NGC3949,4,18.0,2.5,4,55.0,2.0,38.067,0.28,2.39,1058.84,3.59,185.71,3.371,13.72,163.0,7.1,2,"VS01,SV98",19033500000.0,185.82,1147908600737.9834,10.279518656438448,12.059907309860408,1.7803886534219604
NGC2683,11,1,6.231961001834226,11.027751547430967,6.1246479064898445,15.716228997683327,4.6884774502523605,0.10731309534438171,NGC2683,3,9.81,0.49,2,80.0,5.0,80.415,0.222,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,8.1,2,"Sa96,Br92",40207500000.0,175.55999999999997,968069771280.9614,10.604307070617006,11.985906659157925,1.381599588540917
