galaxy,group,rmax,n,chi2_1,chi2_2,bic_margin,dchi2,p0_in,a_in,p0_out,a_out,ratio,drop
NGC3769,forced,37.16,11,5.6419888164896745,5.120977978857051,4.274779707964118,0.5210108376326232,7.433635824692863,5.613009346038645,5.432095014904135,35.58265046728344,6.3393178727549655,2.001540809788728
NGC3992,forced,46.02,9,15.93584051786096,15.936030511424669,4.394639148236148,-0.0001899935637084127,7.6645979127712724,9.190000000000001,2.6645979127712733,11.031500000000001,1.2003808487486398,4.999999999999999
NGC3893,forced,19.05,10,2.8268221449723097,2.8268228509427584,4.60517089195854,-7.059704487666352e-07,7.841494450568656,5.128258609811678,2.8414945080088323,5.824345679321095,1.1357355629799213,4.999999942559824
NGC4051,forced,12.19,7,3.097312746507513,3.0973131959792517,3.891820747582365,-4.494717384950775e-07,7.8670933163902985,2.895862155529604,2.867093321414175,3.3605690480658703,1.1604727254192384,4.999999994976124
NGC0891,forced,17.11,14,32.86502009697163,32.86502055824222,5.278115120501113,-4.612705950535201e-07,7.25479407418732,12.008756414820201,3.007880561129455,12.263818594079197,1.021239682982013,4.246913513057865
NGC4138,forced,18.58,7,3.4539723277582506,3.4539796824942104,3.891827652846586,-7.3547359598080675e-06,8.312754147524616,2.6100000000000056,3.312754147524866,3.4085000000002834,1.3059386973181135,4.99999999999975
NGC2998,winner,42.28,13,61.11987531326048,5.908186525609073,-50.08179007272833,55.211688787651404,9.582820609436066,0.5968257329727618,7.027655787153668,14.627171770339126,24.508279322142915,2.555164822282398
NGC4088,forced,21.48,9,6.417121993264019,6.417121993326658,4.394449154735078,-6.263878304935133e-11,6.315524197831102,21.4799999996941,6.264959073029784,21.479999999984706,1.0000000000135292,0.050565124801317474
NGC3917,forced,14.86,16,8.922137725539146,8.92213869397968,5.5451784129200945,-9.68440533100079e-07,7.723392112820325,4.610232914166936,2.723395707378174,5.122721268459429,1.1111632240353086,4.999996405442151
NGC3521,winner,17.74,41,30.907453415273114,3.6539437572237112,-19.826365524640785,27.253509658049403,9.292382214096568,0.5100000000003905,7.323879730884263,11.946354189343182,23.424223900654972,1.9685024832123048
NGC3198,winner,44.08,40,67.92943217248083,25.963352647815036,-34.588320616437926,41.966079524665794,7.623898378057468,5.540126565936392,5.607001140725636,42.15300632829681,7.6086720811534585,2.0168972373318317
NGC3972,forced,8.72,10,6.2898708266704695,4.6826160601772715,2.997915419494893,1.607254766493198,7.908333884291129,2.287934467822411,7.166601386913788,8.39839672339112,3.670733074529214,0.7417324973773409
NGC4100,forced,22.76,24,13.496874279724327,13.496874584810804,6.356107965782368,-3.050864769704731e-07,8.110630833181743,3.737071847862543,3.110632723354054,4.688221973838724,1.2545174844631903,4.999998109827689
NGC4013,winner,31.01,36,61.43558110749832,33.26665579897609,-21.001887431610015,28.168925308522233,7.456825332902551,5.490000000000001,6.372725275774512,29.733999999999988,5.416029143897993,1.0841000571280395
NGC5005,forced,11.47,13,0.3446769457076782,0.34467694570769186,5.129898714923087,-1.3655743202889425e-14,7.226036864014366,11.469999999999756,7.174569022751432,11.469999999999768,1.000000000000001,0.05146784126293458
NGC5033,forced,44.59,20,44.54004314249137,44.540077869173,5.991499273789607,-3.4726681626295886e-05,7.705498961084901,7.330128697059668,2.705498961250089,9.193122262206783,1.2541556420277338,4.999999999834812
NGC3741,winner,7.0,21,23.07257956351478,4.610668428205432,-12.372866259862498,18.461911135309347,8.179067611536414,0.41968243726700716,7.111125946508223,4.264072099887383,10.160234790036085,1.067941665028191
NGC5055,forced,54.59,22,190.57790347099956,190.57795916344202,6.182140599159084,-5.569244245862137e-05,6.913053129081353,15.641113247566564,1.9130531312136387,17.588557585188237,1.1245080389610156,4.9999999978677145
