Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
NGC0247,7,3.7,0.19,2,74.0,3.0,7.332,0.027,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,"Sa96,Ca90",3666000000.0,119.586,305964444701.23773,9.564192460626197,11.485670961229209,1.921478500603012
NGC0289,4,20.8,5.2,1,46.0,5.0,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,Wa97,36032500000.0,185.82,1147908600737.9834,10.556694395304326,12.059907309860408,1.503212914556082
NGC0300,7,2.08,0.1,2,42.0,10.0,2.922,0.008,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,"Sa96,CP90",1461000000.0,106.36199999999998,215272932979.29968,9.164650215934296,11.332989427888034,2.1683392119537377
NGC0801,5,80.7,8.07,1,80.0,1.0,312.57,3.455,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1,"Sa96,Br92",156285000000.0,250.91399999999996,2826211272763.2056,11.193917297086106,12.451204624308579,1.257287327222473
NGC0891,3,9.91,0.5,2,90.0,1.0,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,Fr11,69170000000.0,246.35399999999998,2674907677756.568,10.83991777567868,12.427308797298258,1.5873910216195775
NGC1003,6,11.4,3.42,1,67.0,5.0,6.82,0.075,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,"Sa96,Br92",3410000000.0,125.17199999999998,350874265883.26654,9.532754378992498,11.545151516990753,2.0123971379982546
NGC1090,4,37.0,9.25,1,64.0,3.0,72.045,0.796,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,Ge04,36022500000.0,187.416,1177741385371.9329,10.556573850030663,12.071049936260628,1.5144760862299655
NGC2403,6,3.16,0.16,2,63.0,3.0,10.041,0.028,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,"Da06,Fr02",5020500000.0,149.56799999999998,598612803783.3854,9.700746971413459,11.77714600176746,2.0763990303540005
NGC2683,3,9.81,0.49,2,80.0,5.0,80.415,0.222,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,8.1,2,"Sa96,Br92",40207500000.0,175.55999999999997,968069771280.9614,10.604307070617006,11.985906659157923,1.381599588540917
NGC2841,3,14.1,1.4,3,76.0,10.0,188.121,0.52,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,"Di08,Be91",94060500000.0,324.67199999999997,6123002708468.674,10.97340728300738,12.78696445154299,1.8135571685356116
